Co,,ZrO2,Catalytic reduction,10 Co/ZrO2,,92.50%,,"Al2O3 also checked, but not as efficient",Extreme thermal stability at higher temperatures,25
Co/KIT-6,,,Catalytic reduction,Co = 25 wt%,"T = 3500C,",52.60%,Selectivity towards CO conversion is minimal at 25 wt% Co catalyst,,The paper focuses on relative content of Co and its effect on methanation. Increase in the content of Co catalyst upto 25 wt% causes increase in methanation rate. Co can easily loose 1 electron leading it to have high ability to absorb CO2 and thus have high conversion,26
Fe,Oxides of Fe,,Catalytic hydrogenation,"H 2 /CO 2 = 200, CO 2 = 1000ppm","P = 1 atm, T = 4000C",60%,Fe oxide reduction leads to formation of more C that enables more catalytic activity,Reducing H 2 /CO 2 ratios could actually lead to CO selectivity,The activity of the catalyst can be attributed to the reactive carbon species that play a major role in methanation.,22
Mesoporous Ni-Al,,,Catalytic reduction,30 wt % Ni,T= 7000C,69%,More Ni provides more active sites and thus better,,The catalyst generated at the given temperature provides the best methanation as well as best CO2 conversion,6
Ni,,La,Catalytic Reduction,"10% La2O3, on zeolite","H2 /CO 2 = 4, T= 3500C, Tubular reactor",65%,Na+ ion exchanged zeolites cause more conversion,,BETA better than Y zeolite due to more Ni2+ sites present.,"1,36,37,38"
Ni,,Silica microspheres,Catalytic reduction,T<4500C,T= 4000C,80%,SiO2 doping leads to higher surface are,High temperatures lead to CO selectivity,"Higher surface area due to SiO2 doping leads to more Ni sites and hence better reduction, the structure is thermally stable.","15, 46"
Ni,,Zeolite encapsulation,Catalytic reduction,"GHSV 60,000 ml/gh, H 2 /CO 2 = 4",T = 4500C,60%,Encapsulation leads to higher conversion,,"The method encapsulates Ni catalyst providing higher surface area and structural strength, leading to high conversion and almost 100 % selectivity towards methanation",17
Ni,,"ZSM-5, SBA-15, MCM-41, Al 2 O 3 and SiO 2",Catalytic reduction,"H 2 /CO 2 = 4
GHSV = 2400 h −1",T= 4000C,99% CH 4 selectivity,Ni/ZSM-5 shows highest methanation,,"The paper focusses on comparing various structural supports and their effects on catalytic reduction. The comparison is on the basis of structural strength and pores, higher surface area leads to more space for Ni & high reduction","19, 48"
Ni,,La in MCM-41,Catalytic reduction,La/Si = 0.01-0.1,,100% CH 4 selectivity,98% CO conversion,,Here La inhibits sintering if the support and carbon deposition and thus increases syngas methanation,"20, 49"
Ni,,"Na/SiO2, Na/CeO2",Catalytic reduction,"1 wt% Na, 1 mol% CO 2 , 50 mol% H 2 , 49 mol% He, F/W = 1,000 mL/min/g cat .","T = 2900C for Na/SiO2 , T = 2800C",,Na promotes catalytic activity for SiO2.,Na hinders catalytic activity for CeO2,Na addition can hinder the process as Na decreases the available surface are by occupying free sites. Stability is observed for CO2  methanation owing to more chemisorption.,23
Ni,,Al 2 O 3-ZrO 2 -TiO 2 and CeO2,Catalytic reduction,,"GHSV=4000 h -1, T=3000C,P= 5 bar",82%,Catalytic activity is improved due to Reducibility and better metal dispersion,,The texture of the structure is improved by adding various oxides as promoters and thus the catalytic activity is increased compared to just one metal oxide as a promoter,31
Ni,Quartenary disk catalyst,,Catalytic reduction,,T=2800C,20%,NiO can move on the catalytic surface and this allows activation of Ni catalytic activity,Low conversion is due to most of the calcined solid not forming a crystalloid,,"33, 50"
Ni (10-20%),,"SiC, SiO2",Catalytic reduction,,,,Increased Ni wt% increases catalytic activity,,Catalytic activity of SiO2 is greater than that of SiC.,24
Ni 10 wt%,,"Ce, Pr",Catalytic Reduction,"Ce/Pr = 80, SiO2 modifier","Fixed bed reactor, P= 1 atm, T= 300-400oC",,Electron back-donation from Ni favors C-O bond cleavage,Ce/Pr ratio has minimal impact,Ni loading and SiO2 modifier have maximum impact.,"2, 39, 40, 41"
Ni 30 wt%,,"Fe, CO, Zr,La,Cu",One-pot sol-gel synthesis,,"T = 3500C, 5 wt% promoter/Al2O3",70.63,Compares several promoters,,Best results with 5 wt% Fe/Al2O3 promoter. High selectivity as well as stability of methane produced,"3, 42,43"
